,VTuber,Affiliation,total_income
0,%C5%8Csaka_Momo,Independent,3559.4643393998
1,7192,Independent,514.9895024860165
2,A-chan,hololive,35926.698597249146
3,A-mi,Vtopia Project,16.183489998713487
4,AZKi,hololive,88570.16330263576
5,Aadya,NIJISANJI,1941.7820888957954
6,Aela_V._Kazaela_Kaizeria_(Aela),ec19projekt,1.302578382286005
7,Ai_Angel,Independent,171.62184264543694
8,Ai_Candii,Sugar Crush,30.20663963259859
9,Aia_Amare,NIJISANJI EN,102250.30804183964
10,Aiba_Uiha,NIJISANJI,26211.351536593596
11,Aika_Meru,Yume Reality,5.042845053834602
12,Aiken_Chachamaru,MarbleCreators,19681.364109141727
13,Aiko_Zurie,Nawasena,879.3772502126163
14,Airani_Iofifteen,hololive Indonesia,71024.21958341291
15,Airi_Cordelia,AKA Virtual,404.4274867970318
16,Airi_Cordelia,Independent,404.4274867970318
17,Airi_Gwynevere,Project Kavvaii,1889.4474325038077
18,Aisha,Polygon Project,995.0313862133107
19,Aizawa_Ema,VSPO!,185558.35454793577
20,Aizawa_Momo,VOICE-ORE,134242.8183557888
21,Aizono_Manami,NIJISANJI,76188.071045498
22,Aka_Mana,Playasia,10315.718696041145
23,Akabane_Youko,NIJISANJI,41630.88549541307
24,Akai_Satan,VMaison,59.9587854139381
25,Akami_Chiyo,Amai Direct,1843.4468036461408
26,Akane_Canna,774 inc.,40224.23160216499
27,Akane_Chiyuru,Independent,19.97615934284937
28,Akatsuki_Ban_Mai,NIJIGEN Project,1839.563666946556
29,Akatsuki_Yume,Independent,3637.394799216151
30,Akemi_Nekomachi,AKA Virtual,762.8059781757871
31,Akewaru_Direza,Direza Familiy,16.3828432979409
32,Akira_Kanon,Nawasena,54.37719576886803
33,Akira_Misaki,MangaGamer,23992.053384419967
34,Akira_Ray,NIJISANJI,20402.751070853625
35,Akitsuki_Ririka,Razerstar,383.8210780573609
36,Akizuki_Yueno,Independent,733.731290139795
37,Akkun,Tenmakinin ver G,12772.767577259261
38,Akosi_Dogie,Aether,34.275473692034005
39,Akosi_Dogie,Independent,34.275473692034005
40,Akosi_Dogie,Nexplay,34.275473692034005
41,Akuma_Saki,Axel-V,35186.27015227578
42,Akuno_Rock,VMaison,6779.892891765416
43,Alban_Knox,NIJISANJI EN,435088.38482112106
44,Alden_Ryouken,SNOWDROP,38.46062660867746
45,Alenka_Inventra,Digikagi,891.0944403507775
46,Alia_Adelia,MAHA5,1861.4865093186647
47,Alice_Mana,541 E&C,10199.225306513092
48,Alice_Mana,Independent,10199.225306513092
49,Alice_Mana,Project Paryi (formerly),10199.225306513092
50,Alicia_Cotton,Independent,73.71173154838212
51,Alona_Driad,AKA Virtual,146.84271344210728
52,Alta_Il,MAHA5JAPAN,51.45469052481454
53,Amae_Runa,天江家,8228.28196013317
54,Amagase_Muyu,NIJISANJI,50740.41371399514
55,Amahane_Yotsuha,VGaming,62656.62040849073
56,Amai_Hiyo,Independent,29163.49123476754
57,Amakawa_Hano,Re:AcT,22249.36036644587
58,Amaki_Okome,Starry Sky Academy,5691.17544461151
59,Amami_Ami,PRISM Project,988.2443846994713
60,Amane_Kanata,hololive,1271418.3178509725
61,Amano_Amoko,Independent,14181.119315893273
62,Amano_Oto,VMaison,15480.96858397893
63,Amano_Serafi,V&U,6284.576977270707
64,Amanogawa_Kousei,Majinova,89.61836348740476
65,Amanohoshi_Chiroru,Propro Production,97968.95876815349
66,Amarynn,AKA Virtual,467.10119326067735
67,Amatsuka_Lilyel,Independent,5950.469377147459
68,Amatsuka_Uto,Independent,199.56295357206346
69,Amau_Meiko,Independent,13126.616168351065
70,Amaya_Clorentine,Independent,45.97909642860402
71,Amemachi_Hanabi,Tsunderia,1666.2531941384118
72,Amemori_Sayo,NIJISANJI,32440.254572245252
73,Ameniwa_Yae,VEE,1301.9819881897927
74,Ami_Yamato,Independent,38.508125951303036
75,Amicia_Michella,NIJISANJI,2370.7382627608304
76,Amiya_Aranha,Tsunderia,22329.2150079681
77,Amoria,V&U,6246.732761385893
78,Anastasia_White,Sedai One,6152.976037913858
79,And_Uge,774 inc.,115143.79461758966
80,Andi_Adinata,MAHA5,760.8083154038673
81,Anew_Uparu,VEE,1450.2583805690406
82,Ange_Katrina,NIJISANJI,508006.87333395274
83,Angelina_Kumalo,lucid Multimedia,180.47808058857157
84,Annin_Miru,Yahoo,109936.9668449241
85,Anny,Independent,36.32551711169656
86,Anon_Non,PRISM Project,13638.177146511971
87,Anya_Melfissa,hololive Indonesia,62411.823627491685
88,Anya_Pandaria,Atelier Live,3.9873716909778505
89,Aogiri_High_School,Brave Group,5806.415550622864
90,Aoi_(FruFru),FruFru VTubers,11.625109122653864
91,Aoi_Crescent,Algorhythm Project,79.85511676385886
92,Aomiya_Yozuri,VEE,12947.383198665619
93,Aozora_Kurumi,Project Kavvaii,2392.343666768161
94,Aozora_Natsuko,Independent,15.0
95,Apollo_Kepler,Independent,542.6227701219432
96,Aragami_Oga,HOLOSTARS,140656.5111277439
97,Araka_Luto,PRISM Project,70123.51258418288
98,Aranaya_Xaphina,Independent,254.7790032459991
99,Aranis_Elvene,Pixela,258.4443964198346
100,Areku,MysteriX,271.956323313786
101,Arisugawa_Reika,GEMS COMPANY,5987.309793576958
102,Ars_Almal,NIJISANJI,498071.29578455037
103,Artemis_of_the_Blue,Atelier Live,39223.816694407986
104,Arurandeisu,HOLOSTARS,195255.894689607
105,Aruse_Inu,Neo-Porte,80892.24281243166
106,Asahi_Lina,nullptr::live,3250.585544758248
107,Ash,Independent,311.2749462883162
108,Astel_Leda,HOLOSTARS,161149.57265669128
109,Astelica_Kasdea,Independent,155.70247670883907
110,Aster_Arcadia,NIJISANJI EN,39753.38858032825
111,Asuka_Hina,NIJISANJI,34947.90880264674
112,Asumi_Sena,Virtual eSports Project,83152.16498284228
113,Audrey_Mina,VEE,19563.407842715616
114,Aura_Lily,4 REALITY,21.29787353378985
115,Aurora_Phoenyx,VDoki,252.11248489873267
116,Axel_Syrios,HOLOSTARS English,74886.83024618402
117,Ayamari_Peko,MarbleCreators,5763.440928296637
118,Ayamy,Independent,162922.5398287607
119,Ayana_Spector,Independent,1622.8464401943806
120,Ayane_Hylo,CyberLive,158.79840760605586
121,Ayunda_Risu,hololive Indonesia,74468.07165915823
122,Azami,TOMATO GUMMY,392.64035526206624
123,Azashi,8THiR3AL Projekt,77.06546166366397
124,Azato_Stacia,Parabellum Project,212.76032251420415
125,Azuchi_Momo,NIJISANJI,10804.106043615826
126,Azuma_Lim,Cyber V,34165.38485251268
127,Azura_Cecillia,NIJISANJI,1804.9612481172717
128,Baacharu,.Live,27576.533561418306
129,BakenVT,Independent,1137.69088700019
130,Ban_Hada,NIJISANJI,18061.83280030854
