,VTuber,Affiliation,year_month,total_income,cumulative_income
0,Hakuya,Independent,2018-03-01,613.6713461776905,613.6713461776905
0,Kokoro_Koharu,Independent,2018-03-01,94.47047077797404,708.1418169556645
1,Hakuya,Independent,2018-04-01,42.49389720268437,750.6357141583488
0,Hiyori_Kaban,Independent,2018-04-01,91.19948792768969,841.8352020860385
0,MissShadowLovely,Independent,2018-04-01,9.0,850.8352020860385
2,Hakuya,Independent,2018-05-01,4.507230851633636,855.3424329376721
1,Hiyori_Kaban,Independent,2018-05-01,344.88531885010156,1200.2277517877737
1,Kokoro_Koharu,Independent,2018-05-01,190.21665419122058,1390.4444059789944
3,Hakuya,Independent,2018-06-01,64.16616008105369,1454.610566060048
2,Hiyori_Kaban,Independent,2018-06-01,329.00981087746237,1783.6203769375104
3,Hiyori_Kaban,Independent,2018-07-01,200.4216148566687,1984.041991794179
2,Kokoro_Koharu,Independent,2018-07-01,19.426247359530652,2003.4682391537096
0,Magrona,Independent,2018-07-01,5142.581224349688,7146.049463503397
0,Pagemi,Independent,2018-07-01,14.259966396822971,7160.3094299002205
0,Ponpoko,Independent,2018-07-01,1874.7391578585969,9035.048587758818
0,Tia,Independent,2018-07-01,190.98783026834556,9226.036418027163
4,Hakuya,Independent,2018-08-01,136.92928296742957,9362.965700994593
4,Hiyori_Kaban,Independent,2018-08-01,186.51590448629338,9549.481605480885
3,Kokoro_Koharu,Independent,2018-08-01,11.05130815109344,9560.53291363198
1,Ponpoko,Independent,2018-08-01,940.1748402192732,10500.707753851253
1,Tia,Independent,2018-08-01,207.20857760951864,10707.91633146077
5,Hakuya,Independent,2018-09-01,227.54474617797038,10935.461077638742
5,Hiyori_Kaban,Independent,2018-09-01,350.91458996048027,11286.375667599223
1,Magrona,Independent,2018-09-01,590.6138913237066,11876.989558922929
2,Ponpoko,Independent,2018-09-01,1758.3961596325057,13635.385718555433
6,Hakuya,Independent,2018-10-01,254.11168159746185,13889.497400152895
6,Hiyori_Kaban,Independent,2018-10-01,237.28386556683702,14126.781265719734
4,Kokoro_Koharu,Independent,2018-10-01,154.0433980629802,14280.824663782712
2,Magrona,Independent,2018-10-01,97.46485623003196,14378.289520012746
3,Ponpoko,Independent,2018-10-01,13905.297037835286,28283.58655784803
2,Tia,Independent,2018-10-01,414.4874761588731,28698.074034006906
7,Hiyori_Kaban,Independent,2018-11-01,101.09763744028844,28799.17167144719
5,Kokoro_Koharu,Independent,2018-11-01,232.3259524905897,29031.497623937783
4,Ponpoko,Independent,2018-11-01,469.62798931517,29501.125613252952
3,Tia,Independent,2018-11-01,101.40304520965097,29602.528658462605
0,Ash,Independent,2018-12-01,55.39399999999999,29657.922658462605
8,Hiyori_Kaban,Independent,2018-12-01,901.7633203138496,30559.685978776455
6,Kokoro_Koharu,Independent,2018-12-01,131.02889498485848,30690.714873761313
3,Magrona,Independent,2018-12-01,1546.9464044497417,32237.661278211053
5,Ponpoko,Independent,2018-12-01,924.5359328243744,33162.197211035425
1,Ash,Independent,2019-01-01,143.05977822643246,33305.25698926186
7,Hakuya,Independent,2019-01-01,113.72397494777988,33418.98096420964
9,Hiyori_Kaban,Independent,2019-01-01,237.35725706931075,33656.33822127895
4,Magrona,Independent,2019-01-01,570.7789937628397,34227.11721504179
6,Ponpoko,Independent,2019-01-01,953.5584218783852,35180.675636920176
4,Tia,Independent,2019-01-01,874.4434287034304,36055.11906562361
2,Ash,Independent,2019-02-01,25.145430615938466,36080.26449623954
8,Hakuya,Independent,2019-02-01,266.2665811443366,36346.53107738388
10,Hiyori_Kaban,Independent,2019-02-01,116.7744003202751,36463.305477704154
7,Kokoro_Koharu,Independent,2019-02-01,304.6626230901143,36767.96810079427
5,Magrona,Independent,2019-02-01,348.0721180865086,37116.04021888078
7,Ponpoko,Independent,2019-02-01,2269.7568384256915,39385.797057306474
0,Splendiferachie,Independent,2019-02-01,61.99,39447.78705730647
0,Tenjin_Kotone,Independent,2019-02-01,62.507556514098574,39510.29461382057
3,Ash,Independent,2019-03-01,26.632480766722377,39536.92709458729
11,Hiyori_Kaban,Independent,2019-03-01,97.5295864785404,39634.456681065836
0,Iida_Pochi,Independent,2019-03-01,4.3610108303249095,39638.817691896154
8,Kokoro_Koharu,Independent,2019-03-01,18.502402826855125,39657.320094723014
6,Magrona,Independent,2019-03-01,1827.3599806360007,41484.680075359014
8,Ponpoko,Independent,2019-03-01,552.1104016699669,42036.79047702898
1,Splendiferachie,Independent,2019-03-01,150.0,42186.79047702898
5,Tia,Independent,2019-03-01,14.446793852918741,42201.2372708819
4,Ash,Independent,2019-04-01,18.573173364865244,42219.81044424677
0,Emoco,Independent,2019-04-01,5.387657087969262,42225.19810133473
12,Hiyori_Kaban,Independent,2019-04-01,15.605880674969868,42240.803982009704
1,Iida_Pochi,Independent,2019-04-01,127.30373503421559,42368.10771704392
0,Kumonoue_Yumemi,Independent,2019-04-01,123.22786259541985,42491.33557963934
7,Magrona,Independent,2019-04-01,1964.595854532122,44455.93143417146
9,Ponpoko,Independent,2019-04-01,999.6178432500901,45455.54927742155
6,Tia,Independent,2019-04-01,61.0458760399416,45516.595153461494
5,Ash,Independent,2019-05-01,4.530083314357663,45521.12523677585
1,Emoco,Independent,2019-05-01,144.06595053229807,45665.19118730815
9,Hakuya,Independent,2019-05-01,89.4794778624254,45754.670665170575
13,Hiyori_Kaban,Independent,2019-05-01,86.21519323715967,45840.88585840773
2,Iida_Pochi,Independent,2019-05-01,30.519899825838674,45871.40575823357
9,Kokoro_Koharu,Independent,2019-05-01,6.635610932475883,45878.04136916605
1,Kumonoue_Yumemi,Independent,2019-05-01,166.34963662533332,46044.39100579138
8,Magrona,Independent,2019-05-01,549.3526305407743,46593.743636332154
10,Ponpoko,Independent,2019-05-01,796.1631100306306,47389.90674636279
1,Tenjin_Kotone,Independent,2019-05-01,713.2818791289454,48103.18862549173
7,Tia,Independent,2019-05-01,57.089893283824416,48160.27851877556
6,Ash,Independent,2019-06-01,13.98,48174.258518775554
10,Hakuya,Independent,2019-06-01,67.50582434768295,48241.76434312324
14,Hiyori_Kaban,Independent,2019-06-01,3.7130718954248367,48245.477415018664
3,Iida_Pochi,Independent,2019-06-01,76.57869811856928,48322.05611313723
2,Kumonoue_Yumemi,Independent,2019-06-01,80.70060491998186,48402.756718057215
9,Magrona,Independent,2019-06-01,2201.7814775089087,50604.53819556612
11,Ponpoko,Independent,2019-06-01,1527.225869857442,52131.764065423566
2,Splendiferachie,Independent,2019-06-01,2.0,52133.764065423566
8,Tia,Independent,2019-06-01,48.49593522532101,52182.26000064889
7,Ash,Independent,2019-07-01,17.97,52200.23000064889
4,Iida_Pochi,Independent,2019-07-01,0.6298877837571744,52200.85988843264
3,Kumonoue_Yumemi,Independent,2019-07-01,134.109942676146,52334.96983110879
10,Magrona,Independent,2019-07-01,199.7793157378286,52534.74914684662
0,Miyu_Miyu,Independent,2019-07-01,45.56141330820388,52580.31056015482
12,Ponpoko,Independent,2019-07-01,1337.0801294157714,53917.390689570595
0,Shigure_Ui,Independent,2019-07-01,1075.350272715874,54992.740962286465
3,Splendiferachie,Independent,2019-07-01,0.99,54993.73096228647
9,Tia,Independent,2019-07-01,54.658635574299176,55048.38959786077
0,Ami_Yamato,Independent,2019-08-01,6.174055888312649,55054.56365374908
11,Hakuya,Independent,2019-08-01,12.343153970002543,55066.90680771908
5,Iida_Pochi,Independent,2019-08-01,4.723378941106484,55071.630186660186
10,Kokoro_Koharu,Independent,2019-08-01,30.00414667864765,55101.634333338836
4,Kumonoue_Yumemi,Independent,2019-08-01,357.3199774072205,55458.954310746056
11,Magrona,Independent,2019-08-01,454.0537981839535,55913.00810893001
1,Miyu_Miyu,Independent,2019-08-01,99.00602045693324,56012.014129386946
13,Ponpoko,Independent,2019-08-01,21744.63172295963,77756.64585234657
1,Shigure_Ui,Independent,2019-08-01,441.9957326626479,78198.64158500922
2,Tenjin_Kotone,Independent,2019-08-01,280.704570414801,78479.34615542402
0,Amai_Hiyo,Independent,2019-09-01,92.30185956433866,78571.64801498836
8,Ash,Independent,2019-09-01,2.0,78573.64801498836
12,Hakuya,Independent,2019-09-01,25.150185622679718,78598.79820061104
6,Iida_Pochi,Independent,2019-09-01,84.47834128616073,78683.2765418972
11,Kokoro_Koharu,Independent,2019-09-01,44.64091186733138,78727.91745376453
5,Kumonoue_Yumemi,Independent,2019-09-01,85.84643937882855,78813.76389314336
12,Magrona,Independent,2019-09-01,743.7740262180814,79557.53791936145
14,Ponpoko,Independent,2019-09-01,481.0621498725549,80038.600069234
0,Sarumonin,Independent,2019-09-01,15.99,80054.590069234
2,Shigure_Ui,Independent,2019-09-01,790.3599482811561,80844.95001751515
3,Tenjin_Kotone,Independent,2019-09-01,1065.205267095799,81910.15528461096
0,Tsuji_Motoko,Independent,2019-09-01,42.60920260994831,81952.7644872209
1,Amai_Hiyo,Independent,2019-10-01,476.4564483454256,82429.22093556632
13,Hakuya,Independent,2019-10-01,59.46997355625693,82488.69090912258
7,Iida_Pochi,Independent,2019-10-01,7.8096050499019025,82496.50051417248
12,Kokoro_Koharu,Independent,2019-10-01,34.1044627464368,82530.60497691893
6,Kumonoue_Yumemi,Independent,2019-10-01,135.47517466696536,82666.08015158589
13,Magrona,Independent,2019-10-01,626.5730249907892,83292.65317657667
15,Ponpoko,Independent,2019-10-01,852.4707842206153,84145.1239607973
3,Shigure_Ui,Independent,2019-10-01,1813.1497748881047,85958.27373568539
0,Tadano_Rei,Independent,2019-10-01,9.210548138319927,85967.48428382372
4,Tenjin_Kotone,Independent,2019-10-01,2858.9112433012488,88826.39552712497
2,Amai_Hiyo,Independent,2019-11-01,171.18637546864414,88997.5819025936
14,Hakuya,Independent,2019-11-01,24.487348162959258,89022.06925075657
0,Kamishiro_Natsume,Independent,2019-11-01,2480.834351206598,91502.90360196316
13,Kokoro_Koharu,Independent,2019-11-01,5.39051604835348,91508.29411801152
7,Kumonoue_Yumemi,Independent,2019-11-01,86.80316214952352,91595.09728016105
14,Magrona,Independent,2019-11-01,101.45093885069755,91696.54821901175
16,Ponpoko,Independent,2019-11-01,5232.484219628654,96929.0324386404
4,Shigure_Ui,Independent,2019-11-01,1162.7313219539644,98091.76376059436
0,Sion,Independent,2019-11-01,699.386689860835,98791.1504504552
1,Tadano_Rei,Independent,2019-11-01,40.10691121300542,98831.2573616682
5,Tenjin_Kotone,Independent,2019-11-01,1913.017000464485,100744.27436213268
10,Tia,Independent,2019-11-01,46.05090093830441,100790.32526307099
3,Amai_Hiyo,Independent,2019-12-01,446.63017646229474,101236.95543953328
8,Iida_Pochi,Independent,2019-12-01,17.79731185858188,101254.75275139186
1,Kamishiro_Natsume,Independent,2019-12-01,2668.334538458062,103923.08728984992
14,Kokoro_Koharu,Independent,2019-12-01,23.567454134271266,103946.6547439842
15,Magrona,Independent,2019-12-01,77.03358508941339,104023.68832907362
0,Nanami_Yurika,Independent,2019-12-01,1.0959007639858702,104024.7842298376
17,Ponpoko,Independent,2019-12-01,1513.6117103778497,105538.39594021544
5,Shigure_Ui,Independent,2019-12-01,1079.924234767216,106618.32017498267
2,Tadano_Rei,Independent,2019-12-01,2.281150290436063,106620.6013252731
6,Tenjin_Kotone,Independent,2019-12-01,1295.896629020378,107916.49795429347
11,Tia,Independent,2019-12-01,115.17205904521899,108031.67001333869
4,Amai_Hiyo,Independent,2020-01-01,416.7689229591794,108448.43893629788
0,BakenVT,Independent,2020-01-01,260.561499409941,108709.00043570781
15,Hakuya,Independent,2020-01-01,319.0114225263747,109028.0118582342
0,Ichimatsu_Suzuka,Independent,2020-01-01,367.880117322563,109395.89197555676
9,Iida_Pochi,Independent,2020-01-01,504.6736196086958,109900.56559516545
2,Kamishiro_Natsume,Independent,2020-01-01,955.417843476656,110855.98343864211
15,Kokoro_Koharu,Independent,2020-01-01,7.730954040152647,110863.71439268226
16,Magrona,Independent,2020-01-01,1087.9873534732021,111951.70174615546
1,Nanami_Yurika,Independent,2020-01-01,12.67107602560147,111964.37282218106
0,Nekobuki_Kemuri,Independent,2020-01-01,90.91622812073523,112055.2890503018
18,Ponpoko,Independent,2020-01-01,865.5611091287856,112920.85015943059
6,Shigure_Ui,Independent,2020-01-01,3124.7250862001806,116045.57524563077
3,Tadano_Rei,Independent,2020-01-01,11.377144273673773,116056.95238990444
12,Tia,Independent,2020-01-01,26.160647620670623,116083.11303752511
5,Amai_Hiyo,Independent,2020-02-01,111.71062450046377,116194.82366202558
16,Hakuya,Independent,2020-02-01,152.88444838250967,116347.70811040809
0,Ichimaru_Ichi,Independent,2020-02-01,293.32314461711,116641.0312550252
1,Ichimatsu_Suzuka,Independent,2020-02-01,17.2945889980735,116658.32584402326
10,Iida_Pochi,Independent,2020-02-01,102.31225392460826,116760.63809794787
3,Kamishiro_Natsume,Independent,2020-02-01,548.6819511005077,117309.32004904839
16,Kokoro_Koharu,Independent,2020-02-01,1.8204298398473155,117311.14047888824
8,Kumonoue_Yumemi,Independent,2020-02-01,157.00159964750438,117468.14207853573
17,Magrona,Independent,2020-02-01,1082.3094402163601,118550.45151875209
2,Nanami_Yurika,Independent,2020-02-01,13.537735922181307,118563.98925467428
1,Nekobuki_Kemuri,Independent,2020-02-01,49.8203747331055,118613.80962940738
19,Ponpoko,Independent,2020-02-01,4519.628300294712,123133.4379297021
7,Shigure_Ui,Independent,2020-02-01,6056.23139030074,129189.66932000284
4,Tadano_Rei,Independent,2020-02-01,2.263173229001915,129191.93249323184
1,Tsuji_Motoko,Independent,2020-02-01,23.84149305555556,129215.77398628739
6,Amai_Hiyo,Independent,2020-03-01,262.1233625191183,129477.89734880651
9,Ash,Independent,2020-03-01,2.0,129479.89734880651
1,BakenVT,Independent,2020-03-01,649.095480273718,130128.99282908022
1,Ichimaru_Ichi,Independent,2020-03-01,1.8644950046175806,130130.85732408485
2,Ichimatsu_Suzuka,Independent,2020-03-01,74.99821324204726,130205.85553732689
11,Iida_Pochi,Independent,2020-03-01,167.65044026784383,130373.50597759473
4,Kamishiro_Natsume,Independent,2020-03-01,713.3281389458756,131086.83411654062
17,Kokoro_Koharu,Independent,2020-03-01,104.05258138235443,131190.88669792298
9,Kumonoue_Yumemi,Independent,2020-03-01,245.07208117454553,131435.9587790975
0,Kurono_Kureha,Independent,2020-03-01,0.2834708166794228,131436.24224991418
18,Magrona,Independent,2020-03-01,738.4718773653652,132174.71412727956
2,Miyu_Miyu,Independent,2020-03-01,4.707547645034002,132179.42167492458
3,Nanami_Yurika,Independent,2020-03-01,32.758820314795926,132212.1804952394
2,Nekobuki_Kemuri,Independent,2020-03-01,5.553915535699233,132217.7344107751
20,Ponpoko,Independent,2020-03-01,1224.4316798029383,133442.16609057802
8,Shigure_Ui,Independent,2020-03-01,5696.732871285309,139138.89896186333
5,Tadano_Rei,Independent,2020-03-01,21.169639491429244,139160.06860135475
7,Tenjin_Kotone,Independent,2020-03-01,18.015422718495508,139178.08402407327
13,Tia,Independent,2020-03-01,19.88049004083674,139197.96451411408
0,%C5%8Csaka_Momo,Independent,2020-04-01,452.9764695874096,139650.9409837015
7,Amai_Hiyo,Independent,2020-04-01,1215.135537685148,140866.07652138665
2,Emoco,Independent,2020-04-01,4.653131749460043,140870.7296531361
17,Hakuya,Independent,2020-04-01,16.616190313195276,140887.3458434493
2,Ichimaru_Ichi,Independent,2020-04-01,108.16622127923807,140995.51206472854
3,Ichimatsu_Suzuka,Independent,2020-04-01,9.256676029714267,141004.76874075827
12,Iida_Pochi,Independent,2020-04-01,495.1569274747567,141499.92566823302
0,Kakage,Independent,2020-04-01,125.81376949360514,141625.73943772662
5,Kamishiro_Natsume,Independent,2020-04-01,1508.1808390635151,143133.92027679013
18,Kokoro_Koharu,Independent,2020-04-01,112.44010608966926,143246.3603828798
10,Kumonoue_Yumemi,Independent,2020-04-01,403.17333708407415,143649.5337199639
19,Magrona,Independent,2020-04-01,1638.0253245983567,145287.55904456222
3,Miyu_Miyu,Independent,2020-04-01,28.791152473227946,145316.35019703547
4,Nanami_Yurika,Independent,2020-04-01,5.674997873245427,145322.0251949087
3,Nekobuki_Kemuri,Independent,2020-04-01,260.0460652371738,145582.0712601459
21,Ponpoko,Independent,2020-04-01,1113.1666871734164,146695.23794731929
9,Shigure_Ui,Independent,2020-04-01,1766.6793120948003,148461.9172594141
4,Splendiferachie,Independent,2020-04-01,66.18557522758226,148528.10283464167
8,Tenjin_Kotone,Independent,2020-04-01,4370.503250006106,152898.6060846478
0,Tukky,Independent,2020-04-01,1212.513585066861,154111.11966971465
0,Uehasu,Independent,2020-04-01,608.5520000078761,154719.67166972253
0,Yuki_Yanagi,Independent,2020-04-01,1894.7924509842387,156614.46412070678
1,%C5%8Csaka_Momo,Independent,2020-05-01,679.4343499499176,157293.89847065668
8,Amai_Hiyo,Independent,2020-05-01,474.9201329871182,157768.8186036438
0,Amatsuka_Lilyel,Independent,2020-05-01,84.74045355429568,157853.5590571981
10,Ash,Independent,2020-05-01,1.99,157855.5490571981
18,Hakuya,Independent,2020-05-01,20.098174409256426,157875.64723160735
3,Ichimaru_Ichi,Independent,2020-05-01,1.8636363636363638,157877.510867971
4,Ichimatsu_Suzuka,Independent,2020-05-01,48.78867826538562,157926.29954623638
13,Iida_Pochi,Independent,2020-05-01,897.4116395100291,158823.7111857464
0,Ito_Life,Independent,2020-05-01,1187.6080955568805,160011.3192813033
1,Kakage,Independent,2020-05-01,144.48254075755193,160155.80182206084
6,Kamishiro_Natsume,Independent,2020-05-01,2756.7925078204667,162912.5943298813
19,Kokoro_Koharu,Independent,2020-05-01,299.6166783484117,163212.2110082297
11,Kumonoue_Yumemi,Independent,2020-05-01,1469.5348644814565,164681.74587271118
20,Magrona,Independent,2020-05-01,839.2925513581769,165521.03842406935
